State,Product,Category,1st Quality,2nd Quality,3rd Quality
Andhra Pradesh,Tirupati Laddu,Sweet,102,74,51
Andhra Pradesh,Kondapalli Toys,Handicraft,2950,1480,680
Andhra Pradesh,Machilipatnam Kalamkari,Textile,2900,1600,850
Andhra Pradesh,Guntur Chilli,Spice,580,430,290
Arunachal Pradesh,Arunachal Orange,Fruit,118,92,62
Arunachal Pradesh,Idu Mishmi Textile,Textile,7800,4800,2800
Assam,Assam Tea,Beverage,1180,790,510
Assam,Muga Silk Saree,Textile,78000,42000,18000
Assam,Joha Rice,Agriculture,240,200,150
Bihar,Madhubani Painting,Handicraft,19500,8800,2400
Bihar,Bhagalpuri Silk,Textile,11500,7800,4200
Bihar,Shahi Litchi,Fruit,240,185,130
Chhattisgarh,Bastar Dhokra Craft,Handicraft,14500,6500,2400
Chhattisgarh,Jeeraphool Rice,Agriculture,290,230,180
Goa,Goa Feni,Beverage,1900,1300,700
Goa,Bebinca,Dessert,680,520,380
Gujarat,Gir Kesar Mango,Fruit,380,280,180
Gujarat,Patan Patola Saree,Textile,490000,290000,140000
Haryana,Basmati Rice,Agriculture,240,180,130
Himachal Pradesh,Kangra Tea,Beverage,880,600,380
Himachal Pradesh,Kullu Shawl,Textile,5800,3600,1800
Jharkhand,Sohrai Painting,Handicraft,4800,2600,900
Jharkhand,Jadopatia Painting,Handicraft,2900,1700,800
Karnataka,Mysore Silk Saree,Textile,58000,34000,17500
Karnataka,Channapatna Toys,Handicraft,1900,900,350
Karnataka,Dharwad Pedha,Sweet,580,500,380
Karnataka,Coorg Coffee,Beverage,1150,850,600
Kerala,Aranmula Kannadi,Handicraft,48000,16000,6500
Kerala,Cardamom,Spice,2900,2300,1550
Madhya Pradesh,Chanderi Saree,Textile,14500,8500,3200
Madhya Pradesh,Maheshwari Saree,Textile,9500,6000,3200
Madhya Pradesh,Kadaknath Chicken,Meat,1150,920,780
Maharashtra,Alphonso Mango,Fruit,480,330,190
Maharashtra,Kolhapuri Chappal,Footwear,2800,1600,800
Maharashtra,Nagpur Orange,Fruit,145,115,75
Manipur,Black Rice,Agriculture,480,360,260
Manipur,Moirang Phee,Textile,9500,6500,3800
Meghalaya,Lakadong Turmeric,Spice,780,620,420
Mizoram,Puanchei,Textile,7800,4800,2600
Nagaland,Naga Mircha,Spice,780,620,380
Odisha,Rasagola,Sweet,480,380,270
Odisha,Pattachitra,Handicraft,19500,8800,2800
Punjab,Phulkari,Textile,9800,6200,2800
Rajasthan,Blue Pottery,Handicraft,4800,2400,750
Rajasthan,Kota Doria Saree,Textile,7800,5200,2800
Rajasthan,Bikaneri Bhujia,Snack,480,380,260
Sikkim,Temi Tea,Beverage,2400,1600,950
Tamil Nadu,Kanchipuram Silk Saree,Textile,68000,34000,11500
Tamil Nadu,Dindigul Lock,Handicraft,1450,850,400
Tamil Nadu,Palkova,Sweet,680,560,420
Telangana,Pochampally Ikat,Textile,19500,13500,5800
Telangana,Haleem,Food,480,350,250
Tripura,Pineapple,Fruit,190,140,95
Uttar Pradesh,Banarasi Saree,Textile,95000,43000,11500
Uttar Pradesh,Chikankari,Textile,9500,5500,1800
Uttar Pradesh,Agra Petha,Sweet,380,300,220
Uttarakhand,Tejpatta,Spice,580,420,260
West Bengal,Darjeeling Tea,Beverage,3800,2100,1100
West Bengal,Baluchari Saree,Textile,24000,14000,7000
West Bengal,Rasogolla,Sweet,380,300,220
